"year","value","lower95","upper95","lower80","upper80","type"
2022,21.3773999804328,21.2066371850813,21.5481627757843,21.265744190099,21.4890557707665,"ARIMA predict"
2023,21.6382933429195,21.3372523157905,21.9393343700485,21.4414531955222,21.8351334903168,"ARIMA predict"
2024,21.9467509969472,21.4647803089767,22.4287216849178,21.6316073031919,22.2618946907025,"ARIMA predict"
2025,22.229136547067,21.5512194018033,22.9070536923307,21.7858703515271,22.6724027426068,"ARIMA predict"
2026,22.5258133770559,21.6254682157252,23.4261585383865,21.9371093191573,23.1145174349544,"ARIMA predict"
2027,22.8146565208559,21.6743288097445,23.9549842319673,22.0690363079663,23.5602767337455,"ARIMA predict"
2028,23.1077936565074,21.7080513630182,24.5075359499966,22.1925513654604,24.0230359475544,"ARIMA predict"
2029,23.3985770642234,21.7229300673118,25.0742240611351,22.3029303844218,24.4942237440251,"ARIMA predict"
2030,23.6906506549174,21.7227333057927,25.6585680040422,22.403898663796,24.9774026460389,"ARIMA predict"
2031,23.9820170389324,21.7067579683478,26.257276109517,22.4943050978319,25.4697289800329,"ARIMA predict"
2032,24.2737710743855,21.6765861745064,26.8709559742646,22.5755631477588,25.9719790010122,"ARIMA predict"
2033,24.5653126208422,21.6323671874423,27.498258054242,22.6475626818235,26.4830625598608,"ARIMA predict"
2034,24.8569706419695,21.5749179944258,28.1390232895133,22.7109517651755,27.0029895187636,"ARIMA predict"
2035,25.148564818149,21.5045826789771,28.7925469573208,22.7658929669781,27.5312366693198,"ARIMA predict"
2036,25.4401939905843,21.4218824480451,29.4585055331234,22.8127612985517,28.0676266826168,"ARIMA predict"
2037,25.731803980015,21.3271701505506,30.1364378094795,22.8517687220582,28.6118392379719,"ARIMA predict"
2038,26.0234244845039,21.22083211591,30.8260168530977,22.8831781242687,29.1636708447391,"ARIMA predict"
2039,26.3150392252217,21.1031854289985,31.5268930214449,22.9071912011638,29.7228872492796,"ARIMA predict"
2040,26.6066571253188,20.9745416049262,32.2387726457113,22.9240147301418,30.2892995204957,"ARIMA predict"
2041,26.8982732936195,20.8351772025514,32.9613693846877,22.9338278503125,30.8627187369266,"ARIMA predict"
2042,27.1898904111949,20.6853547375748,33.6944260848149,22.9368031394792,31.4429776829106,"ARIMA predict"
2043,27.4815070084306,20.5253150999592,34.4376989169021,22.9330975984371,32.0299164184241,"ARIMA predict"
2044,27.7731238908877,20.3552850410593,35.1909627407161,22.922859770761,32.6233880110143,"ARIMA predict"
2045,28.0647406170022,20.1754758631855,35.9540053708189,22.9062276667643,33.2232535672401,"ARIMA predict"
2046,28.356357428815,19.9860865430925,36.7266283145375,22.8833314741328,33.8293833834972,"ARIMA predict"
2047,28.6479741936528,19.7873040815025,37.5086443058031,22.8542934201435,34.4416549671621,"ARIMA predict"
2048,28.9395909842397,19.579305101626,38.2998768668533,22.8192290176786,35.0599529508008,"ARIMA predict"
2049,29.2312077607123,19.3622565300091,39.1001589914156,22.7782474003417,35.684168121083,"ARIMA predict"
2050,29.5228245449216,19.1363165880551,39.9093325017882,22.7314520311112,36.3141970587321,"ARIMA predict"
