"row_label","World","Asia","FSU","HIC","LAC","MENA","SAARC","SSA"
"Overall","96.7 (50.6–199.0)","44.0 (23.5–79.8)","58.6 (35.7–97.3)","85.5 (50.8–151.5)","222.7 (134.9–356.9)","149.9 (81.7–276.2)","78.8 (32.7–177.3)","132.7 (90.4–196.0)"
"Male","100.3 (52.4–206.3)","45.7 (24.4–82.8)","60.7 (37.0–101.1)","88.7 (52.7–157.2)","231.1 (139.8–370.9)","155.5 (85.1–286.3)","81.7 (33.9–184.2)","137.7 (93.8–203.4)"
"Female","93.1 (48.8–191.5)","42.4 (22.6–76.7)","56.4 (34.3–93.6)","82.2 (48.9–145.7)","214.4 (129.9–343.0)","144.3 (78.7–266.0)","75.8 (31.5–170.6)","127.7 (87.0–188.5)"
"Education 0-6 years","84.3 (44.2–173.2)","38.4 (20.4–69.5)","51.1 (31.1–84.9)","74.5 (44.3–131.9)","194.4 (117.9–311.3)","130.7 (71.3–240.8)","68.7 (28.6–154.8)","115.7 (78.8–171.0)"
"Education 6-12 years","104.6 (54.7–215.2)","47.6 (25.4–86.4)","63.3 (38.6–105.3)","92.5 (54.9–163.9)","241.0 (145.7–386.2)","162.1 (88.6–299.2)","85.3 (35.4–191.8)","143.5 (97.8–212.0)"
"Education ≥12 years","101.1 (53.0–207.8)","46.0 (24.5–83.3)","61.3 (37.3–101.8)","89.4 (53.1–158.4)","232.9 (141.0–373.1)","156.7 (85.7–288.8)","82.3 (34.2–185.6)","138.8 (94.5–204.9)"
"Rural","88.0 (46.1–181.1)","40.1 (21.4–72.7)","53.3 (32.5–88.7)","77.9 (46.3–137.9)","202.8 (122.7–325.1)","136.5 (74.4–251.5)","71.8 (29.8–161.5)","120.8 (82.3–178.5)"
"Urban","105.3 (55.1–216.6)","47.9 (25.6–86.8)","63.8 (38.9–106.0)","93.0 (55.2–164.8)","242.6 (146.8–389.0)","163.3 (89.1–300.9)","85.8 (35.6–193.2)","144.5 (98.4–213.6)"
"Age 20-24 years","185.4 (96.4–380.5)","84.2 (45.0–152.8)","112.0 (68.0–186.0)","163.8 (97.2–289.4)","426.4 (258.1–683.6)","286.8 (157.2–527.3)","150.9 (62.5–340.2)","254.3 (173.0–374.1)"
"Age 25-29 years","166.9 (88.0–343.8)","76.1 (40.6–137.7)","101.1 (61.6–167.8)","147.6 (87.8–261.9)","384.3 (232.4–616.7)","259.0 (141.5–477.3)","135.8 (56.5–306.3)","229.2 (155.9–338.8)"
