"country","Overall","Female","Male","Education 0-6 years","Education 6-12 years","Education ≥12 years","Rural","Urban"
"CHN","6.8 (6.5–7.2)","6.6 (6.2–6.9)","7.1 (6.7–7.4)","5.9 (5.7–6.2)","7.4 (7.0–7.7)","7.1 (6.8–7.5)","6.2 (5.9–6.5)","7.4 (7.1–7.8)"
"IND","8.8 (8.3–9.2)","8.4 (8.0–8.8)","9.1 (8.6–9.5)","7.6 (7.3–8.0)","9.5 (9.0–10.0)","9.2 (8.7–9.6)","8.0 (7.6–8.4)","9.5 (9.1–10.0)"
"USA","154.8 (147.3–162.6)","149.0 (141.7–156.5)","160.6 (152.8–168.7)","135.0 (128.4–141.8)","167.5 (159.4–176.0)","161.9 (154.0–170.1)","141.0 (134.1–148.2)","168.6 (160.5–177.1)"
"IDN","25.6 (24.4–26.9)","24.6 (23.5–25.8)","26.6 (25.3–27.9)","22.3 (21.3–23.4)","27.7 (26.4–29.1)","26.8 (25.5–28.1)","23.3 (22.2–24.5)","27.9 (26.6–29.3)"
"BRA","129.0 (122.9–135.5)","124.1 (118.3–130.4)","133.9 (127.5–140.6)","112.5 (107.2–118.1)","139.6 (133.0–146.6)","134.9 (128.6–141.7)","117.5 (111.9–123.3)","140.5 (133.9–147.6)"
"PAK","192.0 (182.6–201.8)","184.7 (175.7–194.2)","199.2 (189.5–209.4)","167.4 (159.2–176.0)","207.7 (197.5–218.3)","200.8 (190.9–211.1)","174.9 (166.2–183.9)","209.1 (198.8–219.8)"
"RUS","72.5 (69.1–76.2)","69.8 (66.5–73.3)","75.2 (71.7–79.1)","63.2 (60.2–66.5)","78.4 (74.7–82.5)","75.8 (72.3–79.7)","66.0 (62.9–69.4)","78.9 (75.2–83.0)"
"JPN","65.1 (62.0–68.3)","62.6 (59.7–65.8)","67.6 (64.3–70.9)","56.8 (54.1–59.6)","70.4 (67.1–73.9)","68.1 (64.8–71.5)","59.3 (56.4–62.2)","70.9 (67.6–74.4)"
"BGD","10.2 (9.7–10.7)","9.8 (9.4–10.3)","10.6 (10.1–11.1)","8.9 (8.5–9.4)","11.1 (10.5–11.6)","10.7 (10.2–11.2)","9.3 (8.9–9.8)","11.1 (10.6–11.7)"
"NGA","111.5 (106.2–117.0)","107.3 (102.2–112.7)","115.7 (110.2–121.4)","97.3 (92.7–102.2)","120.7 (114.9–126.6)","116.7 (111.1–122.4)","101.6 (96.7–106.6)","121.5 (115.7–127.5)"
"MEX","257.1 (244.9–270.4)","247.4 (235.6–260.2)","266.8 (253.9–280.7)","224.3 (213.5–235.9)","278.2 (264.8–292.6)","268.9 (256.1–282.9)","234.2 (222.9–246.3)","280.0 (266.8–294.5)"
