"year","value","lower95","upper95","lower80","upper80","type"
2022,113.181037330362,112.527810090279,113.834264570444,112.75391499608,113.608159664643,"ARIMA predict"
2023,114.280608886252,113.117331610146,115.443886162358,113.519982759386,115.041235013117,"ARIMA predict"
2024,115.536136636492,113.674894505105,117.39737876788,114.319135821094,116.753137451891,"ARIMA predict"
2025,116.709558850431,114.086718114345,119.332399586518,114.994575474196,118.424542226666,"ARIMA predict"
2026,117.926206786307,114.442213324637,121.410200247978,115.64814590847,120.204267664145,"ARIMA predict"
2027,119.120097876285,114.704958374616,123.535237377955,116.233193328501,122.00700242407,"ARIMA predict"
2028,120.325969657667,114.905347592522,125.746591722812,116.78161539983,123.870323915504,"ARIMA predict"
2029,121.525534019859,115.03481407434,128.016253965378,117.281480367188,125.769587672531,"ARIMA predict"
2030,122.728419019859,115.104435218977,130.352402820741,117.743363961309,127.713474078409,"ARIMA predict"
2031,123.929555819031,115.113618125841,132.74549351222,118.165124002136,129.693987635926,"ARIMA predict"
2032,125.131612985406,115.067232075493,135.195993895319,118.550868026277,131.712357944535,"ARIMA predict"
2033,126.333185610317,114.966607870546,137.699763350088,118.900979910524,133.76539131011,"ARIMA predict"
2034,127.535013329532,114.81447706366,140.255549595404,119.217501735093,135.852524923971,"ARIMA predict"
2035,128.736706750428,114.612431907633,142.860981593223,119.501339835656,137.9720736652,"ARIMA predict"
2036,129.938470874739,114.362347409376,145.514594340103,119.753791171639,140.123150577839,"ARIMA predict"
2037,131.14019777615,114.065679045477,148.214716506823,119.975770070939,142.304625481361,"ARIMA predict"
2038,132.341944274129,113.723877484184,150.960011064075,120.168244741754,144.515643806505,"ARIMA predict"
2039,133.543680455194,113.338201820868,153.74915908952,120.332028108187,146.755332802201,"ARIMA predict"
2040,134.745422067757,112.909845348218,156.580998787295,120.467905873468,149.022938262046,"ARIMA predict"
2041,135.947160820824,112.439890789343,159.454430852305,120.57658312238,151.317738519267,"ARIMA predict"
2042,137.148901079316,111.929352040823,162.36845011781,120.658724317117,153.639077841516,"ARIMA predict"
2043,138.350640545255,111.379167130782,165.322113959727,120.714942005889,155.98633908462,"ARIMA predict"
2044,139.552380428445,110.790214607406,168.314546249484,120.745811059235,158.358949797655,"ARIMA predict"
2045,140.754120091967,110.163315618949,171.344924564985,120.751868176677,160.756372007257,"ARIMA predict"
2046,141.955859871137,109.499242000527,174.412477741747,120.733618150137,163.178101592137,"ARIMA predict"
2047,143.157599589422,108.798719907445,177.516479271399,120.691535725942,165.623663452901,"ARIMA predict"
2048,144.359339339761,108.062434743612,180.65624393591,120.626069097791,168.092609581731,"ARIMA predict"
2049,145.561079073224,107.291034523334,183.831123623114,120.537641962525,170.584516183923,"ARIMA predict"
2050,146.762818815572,106.485133319321,187.040504311823,120.426655849625,173.098981781519,"ARIMA predict"
