"year","value","lower95","upper95","lower80","upper80","type"
2022,689.0655415501,683.755186588029,694.375896512171,685.593287075568,692.537796024631,"ARIMA predict"
2023,697.451738004769,687.943586266035,706.959889743503,691.234691751713,703.668784257825,"ARIMA predict"
2024,707.028687014339,691.819337081222,722.238036947455,697.083827633529,716.973546395148,"ARIMA predict"
2025,715.992654660452,694.539113406209,737.446195914694,701.964938030086,730.020371290817,"ARIMA predict"
2026,725.272175819676,696.771313041207,753.773038598145,706.636463326372,743.90788831298,"ARIMA predict"
2027,734.389254814141,698.260519140622,770.51799048766,710.765944320295,758.012565307987,"ARIMA predict"
2028,743.589956572401,699.228203159089,787.951709985714,714.583365132163,772.59654801264,"ARIMA predict"
2029,752.747610599581,699.621213598657,805.874007600505,718.010126755328,787.485094443834,"ARIMA predict"
2030,761.927424946117,699.520017561201,824.334832331033,721.121414597673,802.733435294561,"ARIMA predict"
2031,771.095831496199,698.925868707305,843.265794285094,723.906429279144,818.285233713255,"ARIMA predict"
2032,780.270110606954,697.875096526246,862.665124687662,726.394906714888,834.14531449902,"ARIMA predict"
2033,789.441366612502,696.380673895533,882.502059329471,728.592250310968,850.290482914037,"ARIMA predict"
2034,798.614178866781,694.463803453599,902.764554279962,730.513908802817,866.714448930745,"ARIMA predict"
2035,807.786189987806,692.138206657502,923.43417331811,732.168038196202,883.40434177941,"ARIMA predict"
2036,816.958613520084,689.418870266363,944.498356773806,733.5648578566,900.352369183569,"ARIMA predict"
2037,826.130824749302,686.317935210876,965.943714287728,734.712090076311,917.549559422292,"ARIMA predict"
2038,835.303145268916,682.847170990298,987.759119547534,735.617541832055,934.988748705778,"ARIMA predict"
2039,844.475409527491,679.016962075218,1009.93385697976,736.287945861009,952.662873193973,"ARIMA predict"
2040,853.647702748396,674.837050806912,1032.45835468988,736.72970183654,970.565703660253,"ARIMA predict"
2041,862.819981059933,670.316330162715,1055.32363195715,736.94860937844,988.691352741426,"ARIMA predict"
2042,871.992267046586,665.463097650272,1078.5214364429,736.950101752623,1007.03443234055,"ARIMA predict"
2043,881.164549082206,660.285046208214,1102.0440519562,736.739205077068,1025.58989308734,"ARIMA predict"
2044,890.336833151757,654.789371826403,1125.88429447711,736.320626628247,1044.35303967527,"ARIMA predict"
2045,899.509116174272,648.982805231389,1150.03542711715,735.698766325262,1063.31946602328,"ARIMA predict"
2046,908.681399735785,642.871670168573,1174.491129303,734.877759591965,1082.4850398796,"ARIMA predict"
2047,917.85368301983,636.461917548466,1199.24544849119,733.861497236981,1101.84586880268,"ARIMA predict"
2048,927.025966446711,629.759163465117,1224.2927694283,732.653651572312,1121.39828132111,"ARIMA predict"
2049,936.198249800062,622.768718042897,1249.62778155723,731.257694626765,1141.13880497336,"ARIMA predict"
2050,945.370533191265,615.495612996207,1275.24545338632,729.676916500097,1161.06414988243,"ARIMA predict"
